DateTime,Open,High,Low,Close,Volume,OpenInterest
2015-11-04,86.80000,89.78000,86.28000,89.46000,0,0
2015-11-05,88.72000,91.21000,87.68000,87.68000,0,0
2015-11-06,88.08000,90.07000,85.03000,85.03000,0,0
2015-11-09,88.21000,93.86000,87.36000,92.97000,0,0
2015-11-10,92.49000,92.92000,86.27000,86.96000,0,0
2015-11-11,89.00000,91.64000,88.48000,91.25000,0,0
2015-11-12,93.54000,98.99000,92.25000,98.19000,0,0
2015-11-13,98.74000,107.63000,98.00000,106.06000,0,0
2015-11-16,106.00000,106.54000,96.71000,96.71000,0,0
2015-11-17,96.84000,103.56000,95.03000,100.37000,0,0
2015-11-18,99.59000,100.15000,92.38000,93.47000,0,0
2015-11-19,93.84000,97.23000,93.14000,96.18000,0,0
2015-11-20,93.77000,93.89000,90.57000,90.79000,0,0
2015-11-23,92.53000,92.84000,88.27000,88.55000,0,0
2015-11-24,92.63000,93.27000,88.53000,89.64000,0,0
2015-11-25,89.24000,89.61000,86.14000,86.14000,0,0
2015-11-27,88.08000,89.42000,87.65000,88.35000,0,0
2015-11-30,89.37000,91.85000,89.27000,90.84000,0,0
2015-12-01,89.73000,90.33000,87.25000,87.32000,0,0
2015-12-02,87.81000,94.78000,86.30000,92.94000,0,0
2015-12-03,93.04000,106.91000,92.67000,101.80000,0,0
2015-12-04,99.17000,99.92000,88.69000,89.19000,0,0
2015-12-07,91.79000,98.35000,91.65000,94.30000,0,0
2015-12-08,99.72000,100.91000,97.26000,99.16000,0,0
2015-12-09,107.41000,116.47000,105.33000,113.83000,0,0
2015-12-10,113.07000,115.16000,110.04000,113.80000,0,0
2015-12-11,116.85000,131.86000,116.50000,131.09000,0,0
2015-12-14,128.86000,135.37000,120.69000,122.22000,0,0
2015-12-15,116.97000,117.70000,112.97000,114.37000,0,0
2015-12-16,110.95000,115.88000,104.60000,108.93000,0,0
2015-12-17,108.42000,114.89000,107.71000,113.52000,0,0
2015-12-18,115.12000,120.09000,114.09000,118.32000,0,0
2015-12-21,113.63000,115.03000,109.22000,109.44000,0,0
2015-12-22,107.21000,108.82000,100.89000,100.91000,0,0
2015-12-23,100.21000,102.78000,98.51000,99.61000,0,0
2015-12-24,100.06000,100.52000,98.30000,99.88000,0,0
2015-12-28,102.62000,103.88000,99.24000,99.24000,0,0
2015-12-29,97.58000,97.75000,94.85000,95.13000,0,0
2015-12-30,96.75000,100.82000,96.75000,100.82000,0,0
2015-12-31,101.10000,102.44000,98.48000,100.20000,0,0
