DateTime,contango,d4,d3,d2,d1,unch,u1,u2,u3,u4,hr_d4,hr_d3,hr_d2,hr_d1,hr_unch,hr_u1,hr_u2,hr_u3,hr_u4
2013-05-02,0.95,0,0,0,0,0,1,1,1,1,0.0,0.2,0.6,0.6,0.4,0.6,0.4,0.4,0.4
2013-05-03,1.0,0,0,0,0,1,1,1,1,1,0.0,0.2,0.4,0.4,0.6,0.8,0.6,0.6,0.6
2013-05-06,1.05,0,0,0,0,1,1,1,0,0,0.0,0.2,0.4,0.4,0.8,0.8,0.6,0.4,0.4
2013-05-07,1.05,0,0,0,0,1,1,1,0,0,0.0,0.2,0.2,0.2,0.8,0.8,0.8,0.4,0.4
2013-05-08,1.1,0,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.2,0.8,1.0,1.0,0.4,0.4
2013-05-09,1.15,0,0,1,1,1,1,0,0,0,0.0,0.0,0.2,0.4,1.0,1.0,0.8,0.2,0.2
2013-05-10,1.25,0,0,0,1,1,1,0,0,0,0.0,0.0,0.2,0.6,1.0,1.0,0.6,0.0,0.0
2013-05-13,1.45,0,0,0,1,1,1,0,0,0,0.0,0.0,0.2,0.8,1.0,1.0,0.4,0.0,0.0
2013-05-14,1.5,0,0,0,0,1,1,1,1,1,0.0,0.0,0.2,0.8,1.0,1.0,0.4,0.2,0.2
2013-05-15,1.45,0,0,0,1,1,1,1,1,0,0.0,0.0,0.2,0.8,1.0,1.0,0.4,0.4,0.2
2013-05-16,1.4,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.8,1.0,1.0,0.4,0.4,0.2
2013-05-17,1.9,0,0,0,0,0,1,1,1,1,0.0,0.0,0.0,0.6,0.8,1.0,0.6,0.6,0.4
2013-05-20,1.8,0,0,0,0,1,1,1,0,0,0.0,0.0,0.0,0.4,0.8,1.0,0.8,0.6,0.4
2013-05-21,1.9,0,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.6,0.8,1.0,0.8,0.4,0.2
2013-05-22,1.1,0,1,1,1,1,1,1,1,1,0.0,0.2,0.2,0.6,0.8,1.0,0.8,0.4,0.4
2013-05-23,1.05,1,1,1,1,0,0,0,0,0,0.2,0.4,0.4,0.6,0.6,0.8,0.8,0.4,0.4
2013-05-24,1.0,1,1,1,1,0,0,0,0,0,0.4,0.6,0.6,0.8,0.6,0.6,0.6,0.2,0.2
2013-05-28,1.15,0,0,0,0,0,1,1,1,1,0.4,0.6,0.6,0.8,0.4,0.6,0.6,0.4,0.4
2013-05-29,1.0,1,1,1,1,0,0,0,0,0,0.6,0.8,0.8,0.8,0.2,0.4,0.4,0.4,0.4
2013-05-30,1.15,0,0,0,0,1,1,1,1,0,0.6,0.6,0.6,0.6,0.2,0.4,0.4,0.4,0.2
2013-05-31,1.1,0,1,1,1,1,1,0,0,0,0.4,0.6,0.6,0.6,0.4,0.6,0.4,0.4,0.2
2013-06-03,1.0,0,0,0,1,1,1,0,0,0,0.2,0.4,0.4,0.6,0.6,0.8,0.4,0.4,0.2
2013-06-04,1.0,0,1,1,1,1,1,1,0,0,0.2,0.6,0.6,0.8,0.8,0.8,0.4,0.2,0.0
2013-06-05,0.65,1,1,1,1,0,0,0,0,0,0.2,0.6,0.6,0.8,0.8,0.8,0.4,0.2,0.0
2013-06-06,0.7,0,0,1,1,1,1,0,0,0,0.2,0.6,0.8,1.0,0.8,0.8,0.2,0.0,0.0
2013-06-07,1.1,0,0,0,0,1,1,1,1,1,0.2,0.4,0.6,0.8,0.8,0.8,0.4,0.2,0.2
2013-06-10,1.1,0,0,0,0,1,1,1,0,0,0.2,0.4,0.6,0.6,0.8,0.8,0.6,0.2,0.2
2013-06-11,0.7,1,1,1,1,0,0,0,0,0,0.4,0.4,0.6,0.6,0.6,0.6,0.4,0.2,0.2
2013-06-12,0.3,0,1,1,1,1,1,1,0,0,0.2,0.4,0.6,0.6,0.8,0.8,0.6,0.2,0.2
2013-06-13,0.9,0,0,1,1,1,1,1,0,0,0.2,0.4,0.6,0.6,0.8,0.8,0.8,0.2,0.2
2013-06-14,0.75,0,1,1,1,1,0,0,0,0,0.2,0.6,0.8,0.8,0.8,0.6,0.6,0.0,0.0
2013-06-17,0.85,0,0,0,0,0,1,1,1,1,0.2,0.6,0.8,0.8,0.6,0.6,0.6,0.2,0.2
2013-06-18,0.85,0,0,0,0,1,1,1,1,0,0.0,0.4,0.6,0.6,0.8,0.8,0.8,0.4,0.2
2013-06-19,0.8,1,1,1,1,1,0,0,0,0,0.2,0.4,0.6,0.6,0.8,0.6,0.6,0.4,0.2
2013-06-20,-0.2,1,1,1,1,0,0,0,0,0,0.4,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.2
2013-06-21,0.4,0,0,1,1,1,1,1,0,0,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.4,0.2
2013-06-24,0.15,1,1,1,1,0,0,0,0,0,0.6,0.6,0.8,0.8,0.6,0.4,0.4,0.2,0.0
2013-06-25,0.5,0,0,0,0,0,1,1,1,0,0.6,0.6,0.8,0.8,0.4,0.4,0.4,0.2,0.0
2013-06-26,0.75,0,0,0,0,0,1,1,1,0,0.4,0.4,0.6,0.6,0.2,0.6,0.6,0.4,0.0
2013-06-27,0.85,0,0,0,0,0,1,1,1,1,0.2,0.2,0.4,0.4,0.2,0.8,0.8,0.6,0.2
2013-06-28,0.85,0,0,1,1,1,0,0,0,0,0.2,0.2,0.4,0.4,0.2,0.6,0.6,0.6,0.2
2013-07-01,0.8,0,0,0,0,0,1,1,1,1,0.0,0.0,0.2,0.2,0.2,0.8,0.8,0.8,0.4
2013-07-02,0.85,0,0,0,1,1,1,1,0,0,0.0,0.0,0.2,0.4,0.4,0.8,0.8,0.6,0.4
2013-07-03,1.1,0,0,1,1,1,1,0,0,0,0.0,0.0,0.4,0.6,0.6,0.8,0.6,0.4,0.4
2013-07-05,1.5,0,0,0,0,1,1,1,1,1,0.0,0.0,0.4,0.6,0.8,0.8,0.6,0.4,0.4
2013-07-08,1.4,0,0,0,0,0,1,1,1,0,0.0,0.0,0.2,0.4,0.6,1.0,0.8,0.6,0.4
2013-07-09,1.55,0,0,0,0,0,1,1,1,0,0.0,0.0,0.2,0.4,0.6,1.0,0.8,0.6,0.2
2013-07-10,1.5,0,0,0,1,1,1,1,0,0,0.0,0.0,0.2,0.4,0.6,1.0,0.8,0.6,0.2
2013-07-11,1.55,0,0,0,0,0,1,1,1,1,0.0,0.0,0.0,0.2,0.4,1.0,1.0,0.8,0.4
2013-07-12,1.55,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.2,0.4,0.8,0.8,0.6,0.2
